class,tweet
offensive_language,@_That_Vibe_ bitch I'm Gretchen Weiners I do what I want
offensive_language,@_TheBlackNerd wyd fag
offensive_language,@_TheCrownedHead &#128548;&#128514;&#128514;&#128514;&#128514; bitch
hate_speech,@_TriggaPlease_ @kanyewest he's a faggot
offensive_language,@_TriggaPlease_ nigger hello?
hate_speech,@_TurnDownDre @Jordan__Grimes @kushdaddycorr @TRob_waddUP that's true idk why your even in this convo you dumb nigger attention whore
offensive_language,@_TurnDownDre @kushdaddycorr I can smell your fried chicken ass a mile away boi and clean your nasty ass ears ratchet bitch
hate_speech,@_TurnDownDre @kushdaddycorr lmao you stupid nigger
offensive_language,@_VIVMMXII yuhh I'm finna hit that hoe! &#128513;&#128077;
offensive_language,@_WORDtotheWISE how many times did you listen to that pussy song today?
offensive_language,@_WORDtotheWISE some hoe shit
offensive_language,@_WORDtotheWISE you must have sent a bird call because I didn't get shit
hate_speech,@_XoXoKelsey_ hell naw fuck them bitches serves them right
offensive_language,@_YdotM really thou im looking like Hulk Hogan in this bitch
offensive_language,"@__0utcast___ but then they said ""oh nah ur not"" but dude I'm getting to be a heartless bitch have you not met me"
offensive_language,@__Black_Jesus bitch u know what I mean spell champ these nuts
hate_speech,@__Black_Jesus yea I forgot I was talkin to a degenerate faggot
offensive_language,@__C_h_i_n_g__ your daughter can date this little fag bag @Bekkalina13 @PimpSlapnCow http://t.co/4SabX0mcus
offensive_language,@__DatTootieGurl that hoe can't cook
offensive_language,@__Dutch bitch stop hating on such an immaculate suit.
offensive_language,@__Dutch my birthday hath already passed with little to no fanfare. So. Enjoy your day and be blessed bitch.
offensive_language,@__MotoMoto you a real bitch for that
offensive_language,"@__NikesNshiT you better. And ima let that bitch slide right now, just be on standby. &#128536;&#128514;"
offensive_language,@__TaeSavage pussy
offensive_language,"@__Trail__ take like TAMU... bitches jumped to 6 after beating SC, which ain't that good... @thejournalist44 @That1guyJeff"
offensive_language,@___AsiaJ lol my bro said it about a bitch but it can be about u
hate_speech,@_____0__o______ faggot
offensive_language,@___kd_ i need 2 of the bitches
offensive_language,@__angieex3 Ik you were pussy
offensive_language,"@__baabyshaay okaaaaay bitch never do we care , edges still laid. &#128514;"
hate_speech,@__hannerr__ you're a faggot
offensive_language,@__kiante im askin you negro lol
offensive_language,@_ajayb no i don't cry im not a bitch(: i was just pissed because the cop was trying to charge me with a hole bunch of bullshit :p
hate_speech,@_angelaaau hey fag i &lt;3 you
offensive_language,@_asheyk pussy
offensive_language,@_bradleey LMFAOOOO yooo I lost my elevator pass &#128557;&#128557; now I can't even share it ...bitch wants me to go get another one &#128530;even tho she knows me
offensive_language,@_bradleey SAME&#128530; like bitch it's the struggles to use the stairs let ppl get on &#128074;
hate_speech,"@_cblaze @Barbod6FCB @ODDBEAST Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me"
offensive_language,@_cblaze @kieffer_jason ask your boy Jason keiffer is he still tryna to get his one on one and y he block me #pussy boy
offensive_language,@_cblaze sorry i eat pussy
offensive_language,@_chrisbrownn14 fuck bitches get money
neither,@_dimejii i know so. What Samklef said wasn't a lie man. This guy think is a beast in Naija Pop. His music is trash not the wizkid of before
offensive_language,@_dinora_e jk i would be a bitch if i got them done !
hate_speech,@_elennamichelle nope not at all but I'm stuck in a house full of fucking niggers help me escape &#128553;
offensive_language,@_elennamichelle only when ur around me &#128523; gotta keep dat scent to keep filthy niggers away
offensive_language,"@_fckwatchuthink @Huntermoore or you know, you could just go drink bleach bitch"
offensive_language,"@_fullawhite haha my nigga coco :,) I can't wait to fuckkk like a hunna hoes this summer haha jk"
offensive_language,@_fullawhite rt me to wey I went to the job interview high then a bitch!! Straight stanking like dank haha eyes red then a hoe
offensive_language,@_iGotHer ; bitch dont talk at me like that bro.
neither,@_icantmiss Boys still got birds in the cage? Lol
offensive_language,@_icantmiss send that hoe &#128514;&#128514;
offensive_language,@_illionaire he been taking them hoe lol
hate_speech,@_jeff_hank @lgreiner3 @RayceWarden @BigJohn_Studd shut up nigger
offensive_language,@_justlexis lol whatever. We're fags.
offensive_language,@_lexisperez he ate my pussy i could..
offensive_language,@_littlepuffin I just saw a bad bitch on here from mf Switzerland and feel in love
offensive_language,@_littlepuffin hoe *
offensive_language,@_lostb0y I meant bitch I am scum
offensive_language,"@_lostb0y do you, bitch boy?"
offensive_language,@_lostb0y no bitch w my dick
offensive_language,@_lynnogawa @ that bitch
offensive_language,@_michellecole_ nice hoodie faggot
hate_speech,@_n1k_nak Status Report: Making a pit stop in Canada to rape bitches
offensive_language,@_noWashington he liked that hoe
offensive_language,@_noWashington what that hoe was like
offensive_language,@_puderbaugh don't be a bitch. Get two.
offensive_language,"@_queenveronica haha yolo, did ya hit that hoe?"
offensive_language,@_reathie man bring yo bitch ass here ion give a dam bout yo mf attitude
offensive_language,@_reathie u better sit yo ass in that bitch til 330
neither,@_shegotthis yellow rice black beans and pork chop sis
neither,@_spenceyy @5SOS not scanger
offensive_language,"@_tee13 @SoftestMuffin @TorahBlaze After you spread that filth of urs to that white dog, he &amp; the good ol boys were ltao on fuckin a monkey"
offensive_language,@_tee13 @SoftestMuffin @TorahBlaze u 2 lost puppies dont know shit. Leave them niggers alone u can learn something besides how they like
offensive_language,@_tee13 @TorahBlaze @Tommyguns____ @SoftestMuffin let one of them dingy real nigger dogs catch it. Miss Torah dont want that thot shit
offensive_language,@_theDarius bitch get that job first.
offensive_language,@_theDarius bitch just be looking for my shit.
offensive_language,@_theDarius bitch.
offensive_language,@_theDarius boy I was clean in them bitches.
offensive_language,@_thecrave only if it's funny tweets about ashy niggers
offensive_language,@_tiffanycarter bitch... Im mad at you for slapping me &#9995;
offensive_language,@_tiffnasty bitches will great valuable pussy always make you use protection. Too many nasty dick niggas out here
offensive_language,@_tiffnasty some niggas didnt desrve to have that bitch in the first place
offensive_language,"@_tiffnasty yes. LOVE to make em masturbate to my voice, bitches love Southern accents"
offensive_language,"@_ton3zz life aint shit but bitches and money, i passed that weed like i studied"
offensive_language,@_tonydennis it's trash ik just wanted to fuck with Dorsey
offensive_language,@_travvv's pussy. http://t.co/aXm9PCw95T
offensive_language,@_turtle_gang lets fuck hawt bitches at Foam and Glow?&#128527;
hate_speech,"@_westwest_yall @phampel WooHoo! New Black ""Kill Cracker babies"" Panthers to the rescue! #racist #trash #thugs #Ferguson #fergusonriot"
hate_speech,"@_womanoverboard ""nigger"""
offensive_language,"@_wordtothewise I am hurt im.not in it wtf, fuck Danielle that bitch"
offensive_language,@_xpriceless_ @Casio_DatGuy bitch get punched tf out lol
offensive_language,@_xpriceless_ @Casio_DatGuy bitch u got me fuckked up
offensive_language,@_xpriceless_ bitch take dat shit down imediatly
offensive_language,@_xpriceless_ bitch u forcin it talkin about my family and shit watch out
offensive_language,@_xpriceless_ bitch u got me fuckked up go suck lil action whamm like u always do on thursdays and fridays didn't think ik did u
offensive_language,@_xpriceless_ correction bitch yo illiterate ass wanna eat my pussy and I got some center street boys dat u can suck up nun major
offensive_language,@_xpriceless_ naw fuck u bitch and go suck up cartier
offensive_language,@_xpriceless_ ok bitch damn I will I'm not even tierd my phone just dying
offensive_language,@_xxsarafina haha that hoe go hard rt
offensive_language,@aBartick the bitch in the purple shorts and Aqua beats
offensive_language,@a_murda_ happy birthday bad bitch
offensive_language,@aaliyahhhm I knowww righttt. I don't even know how to use this shit. How I update my status on this hoe?
offensive_language,"@aaryneliza im 60 n I hate elissa, a fake ass cunt"
hate_speech,@aasthaxoxo oh shut your mouth i was talkin about the morning you fag
offensive_language,@aaymee29 no that's fucking retarded are you drinking tonight or not?
offensive_language,@abbey_kuck I just whooped your ass why you turnin pussy
offensive_language,@abbywiseman1 haha you were that bitch on our team &#128521;
offensive_language,@abdashcole @4x4_nation @NatalieSchroyer fuck a raptor. Have fun with that when the tranny fails on you after 70k miles
neither,@abdullah_omar comes from a guy whose sole qualification to be CM is being the lucky sperm :-)
offensive_language,@actionLLJackson unless bitch is a word for awesome they are wrong
offensive_language,@adamjferraro I'm actually with my boys right now. Your dorky ass is with your mom &amp; dad watching Streit make you his bitch
neither,@adnanESPN Houston was top five in AHL attendance while Aeros were here. The transplanted snow bird would love a team.
offensive_language,@adorianloveee man fuck this bitch http://t.co/oIXHg4jtv8
offensive_language,@aerinblazin right &#128514;&#128557; okay bitch
offensive_language,@afuehring is little bitch an emotion? Cuz I'm feeling it..
offensive_language,@ahimla2 - we do not want you here either! Suck my pigs arse you muzzie biotch! Get the phuck out and go back to your hellhole life!
offensive_language,"@airam12_ I was like ""This bitch better chill-"" Oh hey Maria&#128514;&#128514;&#128514;"
offensive_language,@airam12_ Shit I wish it was socially acceptable for me to beat some of these bitches asses. Lmao
offensive_language,"@airwolf1967 @NoInfidel33 @tedcruz @SarahPalinUSA @TWShannon in ALASKA!!
Nothing going on, nothing to do, nothing to bitch about, few laws"
neither,@aj2amazing Obispo ho. We'll do it big
offensive_language,@aj2amazing you already know mane since 6th grade I've been killin hoes
offensive_language,@ajam never happen. Too much republican redneck oil money. Sad butt true. #corruptAmerica
offensive_language,"@ajbruno14 @JamesOKeefeIII @jdhayworth nope, it's a term used to mock teabagger scum like all three of you. Better luck next time, pal."
neither,@akaREKT @LadyVodkax in with the go to air out with the bad air and where's my next brownie
offensive_language,@akaYankeee bitch probably deserved it lol
offensive_language,@alammus @wesideconnect @ArbitraryDesign @Damn_Jehu @michaelsayeth fellow anarchists quit being vaginas :P like jr high up in this bitch
offensive_language,@alammus small man syndrome usually deep down they're huge pussies so they join the authority to compensate their weak ego
offensive_language,@alanaaaaaa_ pussy
offensive_language,@alanaaaaaa_ why are you laughing . That's you hoe &#128514;
neither,@alberdough check cashing on the corner of El Cajon and calwood it's across the steer for pollo loco
hate_speech,"@aldofelix naw dude I wish, they're white trash"
offensive_language,@alesiahenderson wat a faggot
offensive_language,@alexbenovich more than you run pussy
offensive_language,"@alexiscarfield Thought to myself SHEEBA-SHEEBA, got my ass lookin' like a zebra!"
offensive_language,@alexiscarfield ya damn right nigglet! :D
hate_speech,@alexissert leave dyke
offensive_language,@alexissixela__ stfu youre a pussy sit your ass down with all that noise
offensive_language,@alexisxisabel death to attention hoes
neither,"@alexnolan1990 @claddos @takutaneka @regankelly91 ill give you a tip, beware of the ugly birds who hide behind massive lensed sunnies!"
offensive_language,@alexrice_ wow your like 3 years late bitch
offensive_language,@alexrojas_10 pussy
offensive_language,@alexrojas_10 yo fag Rojas
offensive_language,@alexxx_carr18 @Nick_504_ sitting here talking about what u would do or gonna do that's something My bitch does
offensive_language,@alexxx_carr18 bitch what?
offensive_language,@aliciaNOTalisha idk ? I went to to the school like a week ago and the bitch gave me a paper and shit telling me my classes paid for and
offensive_language,@alisha_serv thats wassup how u got bitches sending you booty pics tho lol
offensive_language,@alizahwi Make yo bitch open her legs.
offensive_language,@alliemathews tweet but don't text back ok fag
neither,@allsportsbruh how? All of the QBs we had before this season were trash. They brought in a veteran so they could have someone to play
offensive_language,@allsportsbruh literally retarded. You were dropped on your head.
hate_speech,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded
offensive_language,@allyssasss I was a fag back then
neither,"@almuirSI Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points."
offensive_language,"@alneeZy hung with all dudes and wasn't fuckin no bitches, so. @MauiMescudi"
offensive_language,@alwayznpolo fuck all cops. and fuck you too tarah. bitch your elongated nose is shaped like a horses dick. @tarah_dactyl_
offensive_language,@alyssadugan15 cry about it. You still can't even talk to me even though I'm supposedly the shady bitch that won't confront you lol
hate_speech,@alyssawiens faggot
hate_speech,@amandabynes i can give you some of my clothes so you can look like a cute dyke
hate_speech,@amarierubio chink eyed !
offensive_language,"@ambitiousBree trueee, but I can't wait til the day a bitch try me!!!!"
offensive_language,"@amck73 And because it sounds like there is NO prenup, he's gonna cash in, not her. He apparently has ghetto credit. 'magine that?!"
offensive_language,@ameriC00N @joeylattime Christian keep laughing and me and him will fuck u up instead pussy bitch
offensive_language,"@amyklobuchar he was 17 not 16 &amp; he tried to beat up a much weaker ""creepy ass cracker"" that is why he is dead. If Zimmerman was a woman..."
offensive_language,@anandpradhan @kavita_krishnan funny to read retard liberal tweets. But Anand u didn't delete salwar tweet. Anyway say hi to #DigVijaySingh
neither,@andersonDrLJA i'm so sick of self serving politicians standing by while BO trashes America. #WeAreRepublicNotRegime #ImpeachObama
offensive_language,"@andreajmarkley @gantaro47 Yes, sorry grant, i'm a bitch so i'm going to ignore you like most libtards ignore the majority voice...."
offensive_language,@andrewzoudo @BlVckbricks I'm still gonna smack the fuck out them. They trying to act hard over twitter. Haha pussy ass niggas
offensive_language,@anepicname only reason I wouldn't give it up is I ahve a fucking CATALOG on this bitch. Arcade games were fire.
offensive_language,@angelo_GL @Tommy_Russell_ yall aint gon get a stitch of pussy....
offensive_language,@angelo_GL oh yea a-lo aka mr bitches lmao
offensive_language,@angelo_papale lol now all ya need is sum beacg bod abs pussy boy
offensive_language,@anggxo get off my twitter fag
offensive_language,@anniec0429 ugly white bitch
neither,"@antiamnesty @AppSame @WhiteHouse 
I agree 100%. No naturalized citizenship, no anchor baby amnesty. All go to parents country of origin."
offensive_language,@apmorales96 gotta keep fighting bro Thea hoes just trying to bring me down. #thestrugle
hate_speech,"@aravosis May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch"
offensive_language,@areuseriousrn @harmon_lauren it's okay I'll get bitches on this dick anyway but thanks for the tip
offensive_language,"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum."
neither,@ariennajanee its mutual my lil yellow bone&#127827;
neither,@ariennajanee thats why youz a yellow bone &#128155;&#128155;
offensive_language,@arionnee cuz you know i was playing witchu i aint call yo mama a bitch or say yo brother ugly af did i?
offensive_language,@arionnee smh iont understand it but fuck it more hoes for me &#128527;&#128514;
offensive_language,@artiequitter fuck 'em if they can't take a joke! liberal pussies only think jokes about sarah palin &amp; daughters are funny.
offensive_language,@aschops absolutely agree with that statement. It's just so amusing how angry it makes all these teabagger scumbags. That alone is worth it.
offensive_language,@asdfgheatherr no not tonight you're gonna hoe tomorrow
offensive_language,@asheZ29 @mskyleighmarie bitches &#128530;
hate_speech,@ashhruggiero happy birthday queer
neither,@ashley_smith20 colored contacts
offensive_language,@ashleyasatu lmaoooo I'm calling her a hoe and I'm mad? Shutcho uglass up
offensive_language,@ashleyrike sick bitch!!
neither,@ashleyypat17 if im trash ur trash since we baes now
offensive_language,@asiahh__ alright bitch I hope someone deletes your life suck 30 dicks and get hit by 2 buses
neither,@asiahh__ nah I replied to you like I did to literally everyone else who called it trash... Go and check if you don't believe me
hate_speech,@asshole_king oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.
hate_speech,@asshole_king pats owner is a kike.
hate_speech,@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.
offensive_language,@assholee813 such a hoe
offensive_language,@atheistfront @CutRealty @A_M_Perez @ATHE1STP0WER yea spell check is a bitch... lets stay on topic
offensive_language,@atownbrown08 @CarmineZozzora LOL that hasn't worked well for black folks in the past. They better bring a few crackers with um.
hate_speech,@atspace your 2. And 3. Nigga them hoes suck wayans brothers are not funny at all Jamie foxx should be number 2
neither,@aurabogado el negro?
offensive_language,@austin_farrar yeah way to block me fag your scared you go and hit girls how tough does that make you? Tough enough to know I'd beat...
hate_speech,@austin_farrar your a fucking queer faggot bitch
offensive_language,@austinrea_ @sbsylvester @hunterbuch66 @kieffer_jason bitch that's wtf I just said and its not Christopher it's Chris mf
neither,@awfulbot are you a pig or are you a bird
offensive_language,@b0ss561 just beat the pussy up
offensive_language,@b0ssladyRe go to sleep bitch
offensive_language,@b0ssladyRe lmao you wish bitch
neither,@b0ssladyre just ate a wees brownie and is seeing random cats
offensive_language,@b0ssladyre lmao they know who the kitty master is !!!! Don't hate bitch
neither,@b1gsean21 lets just say hellen keller makes better brownies
offensive_language,@b_scheich &#128072;&#128166; salute a bad bitch
offensive_language,@b_shiznitt @italian_montana wtf you bitches seen this without me
offensive_language,@b_shiznitt cum thru bitch
offensive_language,@b_shiznitt fuck off bitch
offensive_language,@b_shiznitt fuck you bitch
offensive_language,@b_shiznitt wanted me to let everyone know he downloaded the whole Acoustic Justin Bieber album #fag
offensive_language,@b_shiznitt what's good pussy
offensive_language,@b_shiznitt you lying bitch
offensive_language,@baaaabyshaaaay_ My niggah!!
offensive_language,@baaaabyshaaaay_ Ununnnn what plans? Text me niggah!!
offensive_language,@baaaabyshaaaay_ Yassss bitch!!
offensive_language,@baaaabyshaaaay_ spitted sprite on you? niggah with yo smart ass mouth you deserved it. &amp; well stfu! lol
offensive_language,"@babynacca @Zneezy2Good both you boys need some pussy, damn.&#128521;"
offensive_language,@babyspittle @Kimmyincali @MartiniShark @SenatorReid Still blaming Bush? Fucking retard
hate_speech,"@bad_boy_six @ksteven37 
Here ya go wetback, eat this.. http://t.co/kf6PgZvH5G"
offensive_language,@badluckbella_ that's lil nig &#128526;
offensive_language,@badnewsbridget @MorbidMermaid @EvanBecker513 you're a lying sack of shit because I know you love me #lesbian #jk #jkbridgeturstraight #fag
offensive_language,@badnewsbridget lol fag
hate_speech,"@badshah200 Ur pal @STLAbuBadu threat2 ""apostate kufar""&gt;""I cld cut ur neck w/sword of islam &amp;watch u squeal like a bitch like Daniel Pearl"""
neither,@baileymw22 you're the sole reason I come to that chipotle incase you didn't know. Keep up the good work babe
neither,@ballzahoy cowboy killers.&#128525;
neither,@basedgvbe trash
offensive_language,@baskgod nah it's just Clowney being a bitch nigga
offensive_language,"@bayjackson3 lol it's a crew, not actual hoes"
offensive_language,@bbhairs when you get famous I'm buyin yo art so me and my bitch can have dat shit all in da crib
offensive_language,@bbluedreamm @chris_cruz1 @Hunglikerobby_ Kenna stfu? Quit bein a bitch I was tellin Robby to stop?! God.
offensive_language,@bbluedreamm @chris_cruz1 @Hunglikerobby_ don't be a bitch then?
offensive_language,@bbluedreamm @kelliestebbins how original you faggots&#128530;&#128557;
offensive_language,@bbluedreamm bitch don't reply&#128524;
offensive_language,@beautifulbeeee yes!!! Every guy is a bitch today...lol...smh
offensive_language,@beejohns1 is gonna find himself a redneck girl one of these days &#128143;&#128514;
offensive_language,@beenlame @FuckTraVonn faggot
neither,"@beepbeepamanda Today was Talk Like A Pirate Day, and absolutely NOBODY knew Id been doing a Charlie Morton impersonation all day."
hate_speech,@beesands10 But that's what you call white trash with money!!!!!
hate_speech,@bellaangeletti no ud still be a fag if I was lolz
hate_speech,@bellaangeletti ur a fag
offensive_language,@benshapiro just more #teabagger babel. these are the same fucks that masturbated to @TimTebow - they just HATE it when gays r successful.
offensive_language,"@bernadettvajda they always put gingers in red, yellow, or leopard print."
offensive_language,"@bestassbestface omg ur finally losing ur patience. ""Cause ur a hoe!"" I love it. &#128514;&#128514; can't stop laughing."
neither,@beth4158 no steak here either. No hurry on brownies. Just that picture u posted made me all but drool on my phone. :)
offensive_language,@betysweetcocker that's white woman pussy
offensive_language,@bigDickdoane positive thoughts nig nog &#128522;
offensive_language,@big_business_ lmao dog just type them out and let them faggots try to decipher it.
neither,"@big_msudawg11 oh state, just enjoy your trailer trash and your sub par sports."
offensive_language,@biggerboat99 please be a little depressed bitch the entire time
offensive_language,@bigksmoove them hoes look good
offensive_language,@bigshaadswerver @Alejandro_Bihhh I haven't seen that hoe
offensive_language,@bigshaadswerver yea TJ in this hoe dunking everything TK hitting shots and Juelz handling the bitch
offensive_language,@bijoudulcet geminis rule hoe. &#128524;
offensive_language,@bill_gaines @MorningJoe ATF is in charge of prosecuting cases and the #teabagger Republicans won't confirm a director to lead the agency.
neither,@billyeichner Since @TomCruise will be a hoser... hi.
neither,@billyrunaway Hope she's larger than a bird.
offensive_language,@binniemouse bitch don't kill my vibe
offensive_language,@bitchdicknigga yeah cum itch my slit baby cakes
hate_speech,@bitchdicknigga you're a fucking nigger
offensive_language,@bitchkrieg HBIC....... Head bitch in charge. Lol
hate_speech,@bitchkrieg like the new AVI. My Twitter is retarded and shows you in the cubs hat but when I stalk your profile it show the new one
offensive_language,@bitchsides you're a bitch Ihy
neither,@bitty_boop @Oreo cookies sound wonderful.
offensive_language,"@bjohnson613 This is why I follow and love you, Bill. I may bitch at you, but I'll never quit you."
neither,@blackrepublican how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?
neither,@blackymiles lol to get the yellow bleach stain out use a baking soda hydrogen peroxide paste on the stain and throw in the washer
offensive_language,@blakeshelton I'm coming for you bitch boy!!! http://t.co/yASXoqnLEA
offensive_language,@blastmccurdy in your dreams little leprechaun hemroid
neither,@blowme you mean trash.
offensive_language,@bm00re43 bitches naked**
hate_speech,@bnp We are being overrun by mongrels because ZOG or the Jews that run our countries want the white man to perish.
neither,@bocgeogaddi @anepicname lmaooooo epic bird wins.
offensive_language,"@bogglethemind83 @AJ0427 Was about to fly to Portugal &amp; open a can of whoopass since they started to zoom out during ""Still run this bitch"""
offensive_language,@bongwynnn wow what a faggot
offensive_language,@bonnoxxx &#128514; nah bitch u addicted to spazzin fasho fuc molly tht shit happend 1 time and lean scarce so stfu hoe ass go spazz on sum thot
offensive_language,@bonnoxxx &#128514;&#128514;&#128557;&#128557; since day 1 u remember tha bitches in alabama lmfaoo #BIG
offensive_language,@bonnoxxx &#128557;&#128557;&#128557;&#128557;&#128557; how u kno im talkin bout you bitch lmfao
hate_speech,@bonnoxxx haha bitch ima draw a webb in bullets round yo fuggin forehead #BeamThat bitch i know where you reside
hate_speech,@bonnoxxx nah she said you a fag
offensive_language,@bonnoxxx u smokin that 87 bitch
offensive_language,@bonnoxxx yea cuh a bitch fuc donald sterling .. Cuhz pimpin tho
offensive_language,@bossliyah_ DM me your number hoe
offensive_language,"@bosxe it worked, bitch!!!"
neither,@boxingscene @RPopBox @BronzeBomber @boxing this Charlie Z really does need mental help check this out http://t.co/CkBS6WcZu1
offensive_language,@boxingscene Danny will be in deep deep water at 147 too many badass sons of bitches up there
offensive_language,@boxingscene nobody is ever gonna take this ass clown serious again what a lil bitch
offensive_language,@bradley_eckman don't say shit like that lil nig .. Or I'll give you a &#127812; stamp
neither,"@brandonDGK420 the only boards I still have from them are just the tie dye ones, monkey edition, black and silver , and the newest ones"
offensive_language,@brandon_even Them aint the bitches im talkin bout &#58386;&#58386;&#58386; aint no jungle fever over there LOL
offensive_language,@brandynasty bitch nigga dont get all but hurt
offensive_language,@brendacoyt_3 : Ayee Ayee it's my snow niqqa &amp;&amp; it's for my bitches to slide to my crib
offensive_language,@brendacoyt_3 : I got them bitches snowboarding to me &#127938;&#127935;&#10052;&#65039;&#9924;&#65039;
offensive_language,@brendacoyt_3 : ahah chill my bitch look better &#128514;&#128514;&#128514;&#128527;&#128076;
offensive_language,@bri_shackelford @bellaangeletti sorry dyslexia is a bitch
neither,@brianabrazilian oh... my phone is some trash! but you knew that!
offensive_language,@brianholmes2700 I &#128154; you bitch
offensive_language,@brianholmes2700 god doesn't send retards to hell
offensive_language,@brianholmes2700 pussy
offensive_language,@brianholmes2700 you a drunk bitch
neither,@brianstelter took uber yesterday. Advertised as 20% &lt; NY taxis but was actually a yellow taxi at same price. #uber
offensive_language,@briere_alex bout time bitch
offensive_language,@britneyspears not that it matters but im proud of ur little ass! im n old southern bitch. hang n there baby!
neither,@brittbritt_naay &#128514; I'm a wexican
offensive_language,@brittneycordova don't blame me hoe.... I'm innocent &#128520;
neither,"@britty_jurgens a music suggestion is ""lil spook"""
offensive_language,@broneadams yo bitch stay lookin like a clown
offensive_language,@brookbristow @BigAssMoustache people gotta bitch about something.
offensive_language,"@brookeschade @piperleigh_ @cass_uhhh_deee @baylee247 all of yall stfu, your all pussies and won't do shit"
offensive_language,@brotherbill7 thirsty hoes &#128129;
hate_speech,@brrrrangadang this nigga &#128529;&#128529;.. know damn well you a coon
offensive_language,@bsails33 dyke ron&#127752;&#127917;&#128514;
offensive_language,@buffprobzzz the dude took off running like a bitch!
offensive_language,"@burke113 @donthebear ""..the nig..""? ok, you're the big time shit talker on twitter no name, no face, no info"
neither,@butterfliesblue I heard green tea makes you lose weight.... And Imma coon so that explains the watermelon
offensive_language,@bygbootiejuliie just FaceTime Doms bitch ass
neither,@c00ntact @KevinI bumcia is trash smfh I would've thought he would have gone after Khan but what you said makes sense
neither,@c_drew_ I'm guessing so. The players are talking trash.
offensive_language,@c_mccann23 fuck yes we are &#128540; triple xp nigguh
offensive_language,"@caitnicole3 I'm not sure, I'm a broke nig &#128542;"
neither,@cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;
offensive_language,"@calissstaaa cause you're a damn border bunny, you forget already?"
offensive_language,@calumlove1997 might havti give you a visit. This cunt isn't going to have a family when im done.
offensive_language,@cambreezy_ @AndrewWayne2 @thereal_EMandM it ain't retarded. He's my cousin. Lmao.
hate_speech,@cambreezy_ @TheLittleFella_ she spelled faggots with an e you're so cool lol
offensive_language,@cameron_ast @lanahudsonnn @ijrojo bitch shut the fuck and follow what u say nigga
offensive_language,@cameron_ast @lanahudsonnn are u fucking still talking bitch I wanna see that I don't give a fuck about your ugly ass girlfriend son
offensive_language,@cameron_ast @lanahudsonnn bitch and the fuck u wanna do about then nigga stfu talking and do something
neither,@caraabastow That's a cute and fuzzy one...hehehe ;)
neither,"@caritoguey 02' Charcoal 7s are pre-owned, no sole wear or scuffs Size 10.5, Cherry 12's DS size 11.5"
neither,@carlybaejepsen trash
offensive_language,@carlybutler96 just texted yea queer bait &#128536;
neither,@carolinebakkk those were bumblebees....
neither,@carpedehope not if you're standing in btw the yellow lines
offensive_language,@carterboy_leake @italian_montana @tyg235 chill your dad gets more bitches at school than you do griff
offensive_language,@cass_uhhh_deee do it pussy
offensive_language,@catleesh_ I have small pussy size plugs
neither,@caycifish What is that monkey doing to those poor bottles?
hate_speech,@caykelly16 @MadisonEarhart u guys are fags.
offensive_language,@caylanashlee cause everyone just loves yo bitch ass rite? Yea sure...
offensive_language,@caylinwillis Fuck the Yankees
offensive_language,@cb_marie as u should that's jus a clutch ass spot bitch we in there for the turn up &#128553;&#128553;&#128553;
offensive_language,@cb_marie bitch yessssssss&#128586;&#128551; omg I jus saw one of em yesterday I'm in disbelief I rode by like oh that's court bro now I'm lost
offensive_language,"@cbfollowheidi black girls are so funny, why can't you talk literate? It's pathetic, dick riding die hard fan rofl, you disgust me, retard."
offensive_language,@cbfollowheidi bye ugly hoe please do something about that nasty horse hair weave.
offensive_language,@ccass357 @Liveitupjersey real Serious in CT! Bunch of whiney cunts!
offensive_language,@cdnrod And they bitch cause police showed in force.They were the only thing preventing them from getting turned in2 road kill #I70Shutdown
neither,@cgoodwoman @stevenadamswv Crystal probably only person in world interested in my poor black hillbilly:Jamaica::poor white hillbilly:WV idea
offensive_language,@chandraingram95 sounds like you bout to smack a hoe
offensive_language,@chanel_2Playa @TODDIE_soPLAYER nigga you proud of 80% I was in that bitch 99.99% the .01% is from me going to get the weed out the car
offensive_language,@chanelisabeth @Emmasayshai #icanhashtaghoweveriwant #bitch
offensive_language,@chanelisabeth I drive illegally retard
offensive_language,"@chanelisabeth I'm subtweeting my sister, hoe"
offensive_language,@chanelisabeth cuz ur a bird bitch
offensive_language,@chanelisabeth fuck yo bitch ass then
hate_speech,@chanelisabeth that nigger music
offensive_language,"@chanelisabeth well you're a first class bitch. So go on with your bitch life, bitch"
offensive_language,@charlieecai ok!!!!! Stupid bitch
neither,@charlierose @jdickerson racist @NorahODonnell Texas trash GWBush came to WH numb remember he and Republicans stole the election
